Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M,Temperature_Difference,Machine_Power,Wear_Rate,Heat_Index,Mechanical_Stress,Temperature_Ratio,RPM_per_Torque,Power_per_Wear,Torque_per_Temp,Wear_Temp_Product,Machine_failure
302.0,310.9,1456,47.2,54,0,0,0,0,0,0,0,1,8.899999999999977,68723.2,0.03706245710363761,93891.79999999999,2548.8,1.0294701986754966,30.20746887966805,1249.5127272727273,0.1518173045995497,480.5999999999988,0
297.0,308.3,1399,46.4,132,0,0,0,0,1,0,0,1,11.300000000000011,64913.6,0.09428571428571429,91565.1,6124.8,1.038047138047138,29.514767932489452,488.0721804511278,0.15050275705481672,1491.6000000000015,0
301.0,311.6,1357,45.6,137,0,0,0,0,0,0,0,1,10.600000000000023,61879.200000000004,0.10088365243004419,93791.6,6247.2,1.035215946843854,29.12017167381974,448.40000000000003,0.14634146341463414,1452.200000000003,0
298.9,309.8,1411,56.3,84,0,0,0,0,0,0,1,0,10.900000000000034,79439.3,0.059490084985835696,92599.22,4729.2,1.0364670458347274,24.62478184991274,934.58,0.18173014848289218,915.6000000000029,0
297.1,308.5,1733,28.7,50,0,0,0,0,0,0,1,0,11.399999999999977,49737.1,0.02883506343713956,91655.35,1435.0,1.038370918882531,58.35016835016835,975.2372549019608,0.09303079416531604,569.9999999999989,0
298.3,308.9,1706,31.8,8,0,0,0,0,0,1,0,0,10.599999999999966,54250.8,0.0046865846514352666,92144.87,254.4,1.0355346966141468,52.01219512195122,6027.866666666667,0.10294593719650373,84.79999999999973,0
300.7,311.0,1263,52.3,104,0,0,0,0,0,0,0,1,10.300000000000011,66054.9,0.08227848101265822,93517.7,5439.2,1.034253408713003,23.696060037523452,629.0942857142857,0.16816720257234727,1071.2000000000012,0
297.6,309.0,1413,40.2,51,0,0,0,0,0,1,0,0,11.399999999999977,56802.600000000006,0.03606789250353607,91958.40000000001,2050.2000000000003,1.0383064516129032,34.29611650485437,1092.3576923076923,0.13009708737864079,581.3999999999988,0
303.9,313.2,1608,40.6,79,0,0,0,0,0,0,0,1,9.300000000000011,65284.8,0.049098819142324425,95181.48,3207.4,1.0306021717670286,38.65384615384615,816.0600000000001,0.12962962962962965,734.700000000001,0
297.3,308.6,1431,42.0,109,0,0,0,0,0,1,0,0,11.300000000000011,60102.0,0.07611731843575419,91746.78000000001,4578.0,1.0380087453750422,33.27906976744186,546.3818181818182,0.13609850939727802,1231.7000000000012,0
298.9,310.1,1466,42.5,187,0,0,0,0,0,0,1,0,11.200000000000045,62305.0,0.1274710293115201,92688.89,7947.5,1.0374707259953164,33.701149425287355,331.4095744680851,0.13705256368913252,2094.4000000000087,0
297.9,308.6,1691,29.6,116,0,0,0,0,0,0,1,0,10.700000000000045,50053.600000000006,0.06855791962174941,91931.94,3433.6000000000004,1.0359180933199061,55.26143790849673,427.80854700854707,0.09591704471808166,1241.2000000000053,0
299.2,310.7,1540,36.3,175,0,0,0,0,0,0,1,0,11.5,55901.99999999999,0.1135626216742375,92961.43999999999,6352.499999999999,1.0384358288770053,41.28686327077748,317.62499999999994,0.11683295783714193,2012.5,0
298.4,308.4,1515,40.1,179,0,0,0,0,0,0,1,0,10.0,60751.5,0.11807387862796834,92026.55999999998,7177.900000000001,1.0335120643431635,36.86131386861314,337.5083333333333,0.1300259403372244,1790.0,0
300.4,309.8,1421,47.2,0,0,0,0,0,0,0,0,1,9.400000000000034,67071.2,0.0,93063.92,0.0,1.0312916111850867,29.481327800829874,67071.2,0.15235635894125243,0.0,0
298.7,309.9,1617,33.0,203,0,0,0,0,0,0,1,0,11.199999999999989,53361.0,0.12546353522867737,92567.12999999999,6699.0,1.0374958151991964,47.55882352941177,261.5735294117647,0.10648596321394,2273.5999999999976,0
297.7,308.7,1249,60.4,143,0,0,0,0,0,0,1,0,11.0,75439.59999999999,0.1144,91899.98999999999,8637.199999999999,1.0369499496137051,20.34201954397394,523.8861111111111,0.19565921606737935,1573.0,0
298.9,310.0,1564,33.8,183,0,0,0,0,0,0,1,0,11.100000000000023,52863.2,0.11693290734824281,92659.0,6185.4,1.0371361659417866,44.94252873563219,287.3,0.10903225806451612,2031.3000000000043,0
298.1,308.7,1568,32.9,10,0,0,0,0,0,0,1,0,10.599999999999966,51587.2,0.006373486297004461,92023.47,329.0,1.0355585374035556,46.25368731563422,4689.745454545454,0.10657596371882086,105.99999999999966,0
304.1,313.2,1434,50.1,43,0,0,0,0,0,0,1,0,9.099999999999966,71843.40000000001,0.029965156794425088,95244.12000000001,2154.3,1.0299243669845444,28.06262230919765,1632.8045454545456,0.1599616858237548,391.29999999999853,0
302.5,311.1,1571,34.2,201,0,0,0,0,0,0,1,0,8.600000000000023,53728.200000000004,0.12786259541984732,94107.75,6874.200000000001,1.0284297520661159,44.63068181818181,265.98118811881193,0.10993249758919961,1728.6000000000045,0
299.2,308.8,1908,21.3,104,0,0,0,0,0,1,0,0,9.600000000000023,40640.4,0.05447878470403353,92392.96,2215.2000000000003,1.0320855614973263,85.56053811659193,387.0514285714286,0.06897668393782383,998.4000000000024,0
299.6,310.2,1468,48.0,9,0,0,0,0,0,0,1,0,10.599999999999966,70464.0,0.006126616746085773,92935.92,432.0,1.0353805073431241,29.959183673469386,7046.4,0.15473887814313347,95.3999999999997,0
301.0,312.2,1489,40.3,117,0,0,0,0,0,1,0,0,11.199999999999989,60006.7,0.07852348993288591,93972.2,4715.099999999999,1.0372093023255813,36.053268765133176,508.5313559322034,0.12908392056374118,1310.3999999999987,0
299.1,310.5,1389,61.4,64,0,0,0,0,0,0,1,0,11.399999999999977,85284.59999999999,0.0460431654676259,92870.55,3929.6,1.0381143430290871,22.259615384615387,1312.0707692307692,0.19774557165861514,729.5999999999985,0
302.4,310.2,1351,45.1,168,0,1,0,0,0,0,1,0,7.800000000000011,60930.1,0.1242603550295858,93804.48,7576.8,1.025793650793651,29.3058568329718,360.53313609467455,0.14539007092198583,1310.400000000002,1
299.1,310.5,1532,36.6,62,0,0,0,0,0,0,1,0,11.399999999999977,56071.200000000004,0.04044357469015003,92870.55,2269.2000000000003,1.0381143430290871,40.744680851063826,890.0190476190477,0.11787439613526571,706.7999999999986,0
