iter	Passed	Remaining
0	3	3007
1	6	3077
2	9	3034
3	12	3043
4	15	3032
5	18	3031
6	21	3003
7	24	3030
8	27	3013
9	31	3095
10	34	3071
11	37	3123
12	41	3113
13	44	3147
14	48	3157
15	51	3140
16	54	3145
17	57	3135
18	60	3125
19	63	3125
20	67	3133
21	70	3138
22	73	3130
23	76	3128
24	80	3135
25	83	3121
26	86	3112
27	89	3110
28	92	3098
29	95	3085
30	98	3084
31	101	3076
32	104	3076
33	108	3073
34	111	3065
35	114	3069
36	117	3061
37	120	3056
38	123	3052
39	126	3046
40	130	3041
41	132	3032
42	135	3025
43	139	3023
44	142	3019
45	145	3016
46	148	3015
47	152	3021
48	155	3019
49	158	3015
50	161	3010
51	164	3005
52	168	3011
53	172	3020
54	175	3013
55	178	3010
56	182	3012
57	184	3004
58	188	3008
59	191	3004
60	195	3007
61	198	3000
62	201	2994
63	204	2990
64	207	2984
65	210	2979
66	213	2973
67	216	2967
68	219	2963
69	222	2958
70	225	2955
71	229	2957
72	232	2952
73	235	2945
74	238	2943
75	241	2938
76	245	2940
77	248	2935
78	251	2930
79	254	2930
80	258	2928
81	261	2924
82	264	2919
83	267	2914
84	270	2910
85	273	2905
86	276	2900
87	280	2905
88	283	2901
89	286	2898
90	289	2893
91	292	2888
92	296	2888
93	299	2882
94	302	2880
95	305	2875
96	308	2870
97	311	2864
98	314	2859
99	317	2855
100	320	2853
101	323	2848
102	326	2847
103	330	2844
104	333	2841
105	336	2838
106	339	2836
107	343	2835
108	346	2831
109	349	2827
110	352	2824
111	355	2820
112	358	2816
113	361	2812
114	365	2809
115	368	2806
116	371	2802
117	374	2796
118	377	2793
119	380	2790
120	383	2786
121	386	2783
122	389	2779
123	393	2776
124	396	2772
125	399	2767
126	401	2763
127	405	2761
128	408	2759
129	411	2754
130	414	2752
131	418	2749
132	421	2744
133	424	2742
134	427	2740
135	430	2736
136	433	2732
137	436	2727
138	439	2723
139	442	2720
140	445	2717
141	449	2713
142	452	2709
143	455	2705
144	457	2700
145	461	2697
146	464	2693
147	467	2690
148	470	2686
149	473	2681
150	477	2682
151	480	2678
152	483	2675
153	486	2672
154	489	2667
155	492	2665
156	495	2661
157	498	2657
158	502	2655
159	505	2651
160	508	2651
161	511	2647
162	514	2643
163	518	2640
164	521	2636
165	523	2632
166	526	2628
167	530	2626
168	533	2623
169	536	2618
170	539	2615
171	542	2612
172	545	2608
173	548	2603
174	552	2604
175	555	2600
176	558	2597
177	561	2594
178	564	2590
179	568	2587
180	571	2584
181	574	2580
182	577	2577
183	580	2574
184	583	2570
185	587	2569
186	590	2566
187	593	2562
188	596	2559
189	599	2556
190	602	2552
191	605	2549
192	608	2545
193	611	2542
194	615	2540
195	618	2536
196	621	2532
197	624	2529
198	627	2525
199	630	2521
200	633	2518
201	636	2514
202	639	2511
203	643	2509
204	646	2505
205	649	2502
206	652	2498
207	655	2494
208	658	2492
209	661	2488
210	664	2485
211	667	2482
212	671	2480
213	674	2479
214	677	2475
215	680	2471
216	683	2467
217	686	2464
218	690	2461
219	693	2457
220	696	2456
221	699	2452
222	702	2448
223	705	2444
224	708	2441
225	712	2439
226	715	2436
227	718	2433
228	722	2431
229	725	2427
230	728	2424
231	731	2421
232	734	2417
233	737	2414
234	741	2412
235	744	2410
236	748	2408
237	751	2405
238	755	2404
239	759	2403
240	763	2403
241	766	2400
242	770	2400
243	773	2397
244	776	2393
245	779	2390
246	783	2388
247	786	2386
248	790	2383
249	793	2380
250	796	2376
251	799	2373
252	802	2370
253	806	2367
254	809	2364
255	812	2361
256	815	2358
257	818	2354
258	822	2352
259	825	2350
260	829	2347
261	832	2345
262	835	2342
263	839	2340
264	842	2336
265	846	2334
266	849	2331
267	853	2330
268	856	2326
269	859	2322
270	862	2319
271	865	2316
272	868	2313
273	871	2309
274	875	2307
275	878	2304
276	881	2300
277	884	2297
278	888	2294
279	890	2291
280	893	2287
281	897	2283
282	900	2280
283	903	2277
284	906	2273
285	909	2270
286	912	2266
287	915	2263
288	918	2260
289	922	2257
290	925	2254
291	928	2250
292	931	2248
293	934	2244
294	938	2243
295	942	2241
296	945	2238
297	948	2234
298	952	2232
299	955	2228
300	958	2225
301	961	2221
302	964	2218
303	967	2214
304	970	2211
305	973	2208
306	977	2205
307	980	2202
308	983	2198
309	986	2195
310	989	2192
311	992	2188
312	995	2185
313	998	2181
314	1001	2178
315	1004	2174
316	1007	2170
317	1010	2167
318	1013	2164
319	1016	2160
320	1019	2157
321	1022	2153
322	1025	2150
323	1029	2147
324	1032	2144
325	1035	2141
326	1038	2138
327	1041	2134
328	1045	2131
329	1048	2127
330	1051	2125
331	1054	2121
332	1057	2118
333	1060	2115
334	1063	2111
335	1067	2109
336	1070	2105
337	1073	2102
338	1076	2099
339	1079	2095
340	1082	2092
341	1086	2089
342	1089	2087
343	1093	2085
344	1096	2081
345	1099	2078
346	1102	2074
347	1105	2071
348	1109	2069
349	1112	2066
350	1116	2064
351	1119	2060
352	1122	2056
353	1125	2053
354	1129	2051
355	1132	2048
356	1135	2045
357	1138	2042
358	1141	2039
359	1145	2035
360	1148	2032
361	1151	2030
362	1155	2026
363	1158	2023
364	1161	2020
365	1164	2016
366	1167	2013
367	1170	2010
368	1174	2007
369	1177	2004
370	1180	2000
371	1183	1997
372	1186	1994
373	1189	1991
374	1192	1987
375	1195	1984
376	1198	1980
377	1202	1978
378	1205	1974
379	1208	1971
380	1211	1968
381	1214	1965
382	1217	1961
383	1220	1958
384	1223	1955
385	1227	1952
386	1230	1949
387	1233	1945
388	1236	1942
389	1239	1939
390	1243	1937
391	1247	1934
392	1250	1930
393	1253	1928
394	1256	1925
395	1260	1922
396	1263	1918
397	1266	1915
398	1269	1912
399	1272	1909
400	1275	1905
401	1278	1901
402	1282	1900
403	1285	1896
404	1289	1893
405	1292	1890
406	1295	1887
407	1298	1884
408	1301	1880
409	1304	1877
410	1307	1873
411	1310	1870
412	1313	1867
413	1316	1863
414	1319	1860
415	1323	1857
416	1326	1854
417	1329	1851
418	1333	1848
