Feature,Importance
HDF,0.13412904970832265
OSF,0.119108632999345
PWF,0.11312152011670833
Torque_Nm,0.09904168471244407
TWF,0.08912169935666775
Rotational_speed_rpm,0.07379981134547921
Machine_Power,0.062595955612267
Mechanical_Stress,0.05584334510617927
Tool_wear_min,0.05207843978947616
Type,0.04065470707846392
Air_temperature_K,0.03638746618391122
Temperature_Difference,0.03452171731291332
Wear_Rate,0.025015539950449937
Process_temperature_K,0.020858017492627452
RPM_per_Torque,0.01516336127199214
Heat_Index,0.01512420298779765
Temperature_Ratio,0.013257643390628888
RNF,0.0001772055843262227
