Feature,Importance
HDF,0.09178422224671368
PWF,0.08953744948258474
OSF,0.06238238818884683
Type_M,0.05987290033753436
Type_L,0.04927014689472247
Wear_Rate,0.03567883375331175
Torque_per_Temp,0.0345372687075613
Temperature_Difference,0.03448014544784144
Rotational_speed_rpm,0.03115897700545763
TWF,0.030009017833305604
Torque_Nm,0.02868490337369792
Type_H,0.028458410987408096
Temperature_Ratio,0.02521506814931053
Mechanical_Stress,0.02427917986034252
Heat_Index,0.01948093398280101
RPM_per_Torque,0.015643679795575495
Wear_Temp_Product,0.015347093898938251
Tool_wear_min,0.015142812635551528
Machine_Power,0.012170940226748538
Air_temperature_K,0.01071410815357479
Process_temperature_K,0.007955207675473877
Power_per_Wear,0.0031623990977248956
RNF,2.8385893891861366e-05
